,Unnamed: 0,Unnamed: 0.1,Band,Species,Sex,First adult year,Last Year,Weight (g),Wing (mm),Tarsus (mm),Beak Length (mm),Beak Depth (mm),Beak Width (mm)
80,80,80,2242,Geospiza fortis,male,1976,1979,15.41,72.94,18.26,11.09,9.45,8.03
81,81,81,2939,Geospiza fortis,unknown,1973,1979,15.37,67.95,19.41,9.63,8.31,7.72
82,82,82,354,Geospiza fortis,female,1975,1980,17.5,67,20.3,11.6,9.8,9.1
83,83,83,678,Geospiza fortis,male,1973,1980,16.5,71,18.2,11.3,9.7,8.3
84,84,84,1418,Geospiza fortis,male,1976,1980,17.94,71.01,18.76,12.13,10.38,9.24
85,85,85,1426,Geospiza fortis,female,1976,1980,21.22,71.45,21.01,12.03,10.61,10.07
86,86,86,1527,Geospiza fortis,female,1976,1980,17.04,68.01,18.46,10.63,8.38,8.14
87,87,87,1659,Geospiza fortis,male,1976,1980,17.74,71.01,19.16,11.83,10.78,9.34
88,88,88,2244,Geospiza fortis,male,1976,1980,18.87,71.95,20.16,12.43,11.01,9.77
89,89,89,2249,Geospiza fortis,male,1976,1980,18.44,74.01,20.06,12.73,10.68,9.74
90,90,90,2940,Geospiza fortis,female,1976,1980,15.14,70.01,17.86,10.33,8.78,8.14
91,91,91,3642,Geospiza fortis,male,1973,1980,17.84,71.01,19.16,11.03,10.28,9.04
92,92,92,8191,Geospiza fortis,male,1976,1980,19.63,70.41,20.81,12.53,10.86,9.62
93,93,93,1019,Geospiza fortis,male,1976,1981,20.82,70.45,19.86,12.13,11.21,9.87
94,94,94,1372,Geospiza fortis,female,1976,1981,16.64,69.01,18.16,10.43,9.48,8.54
95,95,95,1797,Geospiza fortis,male,1976,1982,16.67,69.45,19.21,10.53,9.31,8.37
96,96,96,2378,Geospiza fortis,male,1976,1981,18.07,70.95,21.06,11.23,9.86,8.67
97,97,97,8190,Geospiza fortis,unknown,1976,1981,15.6,69.47,18.36,11.23,9.28,8.24
98,98,98,316,Geospiza fortis,male,1973,1982,17.55,67.5,19.55,10.9,9.85,9.2
99,99,99,710,Geospiza fortis,male,1975,1982,15,69,19,10.5,10,8.7
