location,Galapagos Islands,Galapagos Islands,Galapagos Islands
lat,-0.00009,-0.00009,-0.00009
lon,-90.46875,-90.46875,-90.46875
asl,-0.667,-0.667,-0.667
variable,Temperature,Relative Humidity,Precipitation Total
unit,°C,%,mm
level,2 m elevation corrected,2 m,sfc
resolution,hourly,hourly,hourly
aggregation,None,None,None
timestamp,Galapagos Islands Temperature [2 m elevation corrected],Galapagos Islands Relative Humidity [2 m],Galapagos Islands Precipitation Total
20200809T0400,18.985662,91.0,0.0
20200809T0500,18.985662,91.0,0.0
20200809T0600,19.105663,91.0,0.0
20200809T0700,19.215662,90.0,0.0
20200809T0800,19.335663,90.0,0.0
20200809T0900,19.425663,90.0,0.0
20200809T1000,19.515663,90.0,0.0
20200809T1100,19.505663,91.0,0.0
20200809T1200,19.495663,91.0,0.0
20200809T1300,19.475662,91.0,0.0
20200809T1400,19.445663,92.0,0.0
20200809T1500,19.415663,92.0,0.0
20200809T1600,19.305662,92.0,0.0
20200809T1700,19.145662,92.0,0.0
20200809T1800,18.975662,92.0,0.0
20200809T1900,19.195663,91.0,0.0
20200809T2000,19.555662,89.0,0.0
20200809T2100,19.915663,86.0,0.0
20200809T2200,20.205662,86.0,0.0
20200809T2300,19.975662,86.0,0.0
20200810T0000,19.565662,88.0,0.0
20200810T0100,19.225662,90.0,0.0
20200810T0200,18.965662,93.0,0.0
20200810T0300,18.775663,92.0,0.0
20200810T0400,18.625662,93.0,0.0
20200810T0500,18.625662,93.0,0.0
20200810T0600,18.575663,92.0,0.0
20200810T0700,18.855663,91.0,0.0
20200810T0800,19.195663,90.0,0.0
20200810T0900,19.535664,89.0,0.0
20200810T1000,19.805662,88.0,0.0
20200810T1100,19.615664,89.0,0.0
20200810T1200,19.415663,90.0,0.0
20200810T1300,19.345663,91.0,0.0
20200810T1400,19.195663,92.0,0.0
20200810T1500,19.095663,93.0,0.0
20200810T1600,18.915663,93.0,0.0
20200810T1700,18.765663,93.0,0.0
20200810T1800,18.625662,93.0,0.0
20200810T1900,18.555662,93.0,0.0
20200810T2000,18.495663,93.0,0.0
20200810T2100,18.455662,93.0,0.0
20200810T2200,18.445663,93.0,0.0
20200810T2300,18.335663,93.0,0.0
